"","year","neighborhood","count"
"576",1974,"south_woodlawn",3
"577",1975,"black_belt",23
"578",1975,"hyde_park",667
"579",1975,"north_kenwood",5
"580",1975,"north_woodlawn",32
"581",1975,"other",70
"582",1975,"south_kenwood",63
"583",1975,"south_shore",55
"584",1975,"south_woodlawn",5
"585",1976,"black_belt",11
"586",1976,"hyde_park",520
"587",1976,"north_kenwood",8
"588",1976,"north_woodlawn",26
"589",1976,"other",62
"590",1976,"south_kenwood",36
"591",1976,"south_shore",60
"592",1976,"south_woodlawn",1
"593",1977,"black_belt",18
"594",1977,"hyde_park",469
"595",1977,"north_kenwood",20
"596",1977,"north_woodlawn",31
"597",1977,"other",39
"598",1977,"south_kenwood",33
"599",1977,"south_shore",103
"600",1977,"south_woodlawn",4
"601",1978,"black_belt",5
"602",1978,"hyde_park",428
"603",1978,"north_kenwood",5
"604",1978,"north_woodlawn",18
"605",1978,"other",39
"606",1978,"south_kenwood",51
"607",1978,"south_shore",34
"608",1978,"south_woodlawn",8
"609",1979,"black_belt",14
"610",1979,"hyde_park",390
"611",1979,"north_kenwood",6
"612",1979,"north_woodlawn",12
"613",1979,"other",29
"614",1979,"south_kenwood",54
"615",1979,"south_shore",13
"616",1979,"south_woodlawn",2
"617",1980,"black_belt",30
"618",1980,"hyde_park",396
"619",1980,"north_kenwood",1
"620",1980,"north_woodlawn",21
"621",1980,"other",34
"622",1980,"south_kenwood",42
"623",1980,"south_shore",4
"624",1980,"south_woodlawn",2
"625",1981,"black_belt",27
"626",1981,"hyde_park",498
"627",1981,"north_kenwood",0
"628",1981,"north_woodlawn",18
"629",1981,"other",19
"630",1981,"south_kenwood",37
"631",1981,"south_shore",3
"632",1981,"south_woodlawn",1
"633",1982,"black_belt",27
"634",1982,"hyde_park",836
"635",1982,"north_kenwood",0
"636",1982,"north_woodlawn",20
"637",1982,"other",1
"638",1982,"south_kenwood",61
"639",1982,"south_shore",8
"640",1982,"south_woodlawn",3
"641",1983,"black_belt",18
"642",1983,"hyde_park",582
"643",1983,"north_kenwood",0
"644",1983,"north_woodlawn",32
"645",1983,"other",4
"646",1983,"south_kenwood",53
"647",1983,"south_shore",12
"648",1983,"south_woodlawn",1
"649",1984,"black_belt",15
"650",1984,"hyde_park",478
"651",1984,"north_kenwood",0
"652",1984,"north_woodlawn",10
"653",1984,"other",8
"654",1984,"south_kenwood",70
"655",1984,"south_shore",6
"656",1984,"south_woodlawn",0
"657",1985,"black_belt",28
"658",1985,"hyde_park",451
"659",1985,"north_kenwood",0
"660",1985,"north_woodlawn",17
"661",1985,"other",1
"662",1985,"south_kenwood",71
"663",1985,"south_shore",23
"664",1985,"south_woodlawn",1
"665",1986,"black_belt",13
"666",1986,"hyde_park",662
"667",1986,"north_kenwood",0
"668",1986,"north_woodlawn",49
"669",1986,"other",2
"670",1986,"south_kenwood",94
"671",1986,"south_shore",42
"672",1986,"south_woodlawn",7
