id,year,neighborhood,percentage
280,1948,north_woodlawn,14.36031331
281,1948,south_kenwood,2.610966058
282,1948,south_shore,0.783289817
283,1949,hyde_park,78.125
284,1949,black_belt,1.388888889
285,1949,south_woodlawn,4.861111112
286,1949,north_woodlawn,13.19444444
287,1949,south_kenwood,1.388888889
288,1949,south_shore,1.041666667
289,1950,hyde_park,77.60736196
290,1950,black_belt,2.147239264
291,1950,south_woodlawn,7.36196319
292,1950,north_woodlawn,11.65644172
293,1950,south_kenwood,0.306748467
294,1950,south_shore,0.920245399
295,1951,hyde_park,71.3362069
296,1951,black_belt,3.232758621
297,1951,south_woodlawn,5.818965517
298,1951,north_woodlawn,16.37931034
299,1951,south_kenwood,2.370689655
300,1951,south_shore,0.862068965
301,1952,hyde_park,75.12437811
302,1952,black_belt,1.492537313
303,1952,south_woodlawn,7.960199005
304,1952,north_woodlawn,13.43283582
305,1952,south_kenwood,1.990049751
306,1952,south_shore,0
307,1953,hyde_park,88.05031447
308,1953,black_belt,3.773584905
309,1953,south_woodlawn,1.257861635
310,1953,north_woodlawn,5.34591195
311,1953,south_kenwood,0.943396226
312,1953,south_shore,0.628930818
313,1954,hyde_park,79.25
314,1954,black_belt,4.5
315,1954,south_woodlawn,4
316,1954,north_woodlawn,11
317,1954,south_kenwood,0.75
318,1954,south_shore,0.5
319,1955,hyde_park,83.984375
320,1955,black_belt,0.390625
321,1955,south_woodlawn,3.7109375
322,1955,north_woodlawn,4.687500001
323,1955,south_kenwood,5.46875
324,1955,south_shore,1.7578125
325,1956,hyde_park,83.97887324
326,1956,black_belt,1.056338028
327,1956,south_woodlawn,5.281690141
328,1956,north_woodlawn,5.105633803
329,1956,south_kenwood,2.288732394
330,1956,south_shore,2.288732394
331,1957,hyde_park,83.70221328
332,1957,black_belt,1.408450704
333,1957,south_woodlawn,2.615694165
334,1957,north_woodlawn,4.024144869
335,1957,south_kenwood,5.835010061
336,1957,south_shore,2.414486921
337,1958,hyde_park,81.08614232
338,1958,black_belt,0.936329588
339,1958,south_woodlawn,2.808988764
340,1958,north_woodlawn,7.677902622
341,1958,south_kenwood,6.179775281
342,1958,south_shore,1.310861423
343,1959,hyde_park,83.21377331
344,1959,black_belt,0.717360115
345,1959,south_woodlawn,0.143472023
346,1959,north_woodlawn,5.595408895
347,1959,south_kenwood,2.86944046
348,1959,south_shore,7.460545194
349,1960,hyde_park,78
350,1960,black_belt,3.111111111
351,1960,south_woodlawn,0.222222222
352,1960,north_woodlawn,6.888888889
353,1960,south_kenwood,2.222222222
354,1960,south_shore,9.555555556
355,1961,hyde_park,71.36150235
356,1961,black_belt,3.051643192
357,1961,south_woodlawn,0.469483568
358,1961,north_woodlawn,5.164319249
359,1961,south_kenwood,8.215962441
360,1961,south_shore,11.7370892
361,1962,hyde_park,76.19047619
362,1962,black_belt,4.269293924
363,1962,south_woodlawn,1.477832512
364,1962,north_woodlawn,7.717569786
365,1962,south_kenwood,2.955665025
366,1962,south_shore,7.389162562
367,1963,hyde_park,79.57317073
368,1963,black_belt,1.524390244
369,1963,south_woodlawn,0.304878049
370,1963,north_woodlawn,7.469512195
371,1963,south_kenwood,1.981707317
372,1963,south_shore,9.146341463
373,1964,hyde_park,79.89949749
374,1964,black_belt,3.015075377
375,1964,south_woodlawn,1.172529314
376,1964,north_woodlawn,8.207705193
377,1964,south_kenwood,1.675041876
378,1964,south_shore,6.030150753
379,1965,hyde_park,83.73205742
380,1965,black_belt,5.422647528
381,1965,south_woodlawn,0.956937799
382,1965,north_woodlawn,6.858054227
383,1965,south_kenwood,0.956937799
384,1965,south_shore,2.073365231
385,1966,hyde_park,82.07705193
386,1966,black_belt,1.842546063
387,1966,south_woodlawn,1.005025125
388,1966,north_woodlawn,8.207705193
389,1966,south_kenwood,2.84757119
390,1966,south_shore,4.020100503
391,1967,hyde_park,74.57627119
392,1967,black_belt,4.449152543
393,1967,south_woodlawn,0.635593221
394,1967,north_woodlawn,8.898305084
395,1967,south_kenwood,3.177966101
396,1967,south_shore,8.262711864
397,1968,hyde_park,70.96774194
398,1968,black_belt,5.865102639
399,1968,south_woodlawn,0.586510264
400,1968,north_woodlawn,5.278592375
401,1968,south_kenwood,2.19941349
402,1968,south_shore,15.10263929
403,1969,hyde_park,77.08049113
404,1969,black_belt,2.319236016
405,1969,south_woodlawn,0.272851296
406,1969,north_woodlawn,5.320600273
407,1969,south_kenwood,2.04638472
408,1969,south_shore,12.96043656
409,1970,hyde_park,80.9139785
410,1970,black_belt,1.478494624
411,1970,south_woodlawn,0.134408602
412,1970,north_woodlawn,3.360215054
