Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
976_East_60TH_@976_E_60TH_ST@.html,976_East_60TH_,976_E_60TH_ST,976 East 60TH ,976 E 60TH ST,"Chicago, IL","976 E 60TH ST, Chicago, IL","1", Daily Maroon,September,"30","1914",,"-87.6018078","41.7859039","976 e 60th st, chicago, il 60637, usa"
7_East_OAK_@7_E_OAK_ST@.html,7_East_OAK_,7_E_OAK_ST,7 East OAK ,7 E OAK ST,"Chicago, IL","7 E OAK ST, Chicago, IL","1", Daily Maroon,July,"5","1963",,"-87.6278645","41.9005393","7 e oak st, chicago, il 60611, usa"
1221_East_56TH_@1221_E_56TH_ST@.html,1221_East_56TH_,1221_E_56TH_ST,1221 East 56TH ,1221 E 56TH ST,"Chicago, IL","1221 E 56TH ST, Chicago, IL","1", Daily Maroon,November,"20","1914",,"-87.595608","41.793166","1221 e 56th st, chicago, il 60637, usa"
1313_East_59TH_@1313_E_59TH_ST@.html,1313_East_59TH_,1313_E_59TH_ST,1313 East 59TH ,1313 E 59TH ST,"Chicago, IL","1313 E 59TH ST, Chicago, IL","1", Daily Maroon,December,"7","1956",,"-87.5914952","41.7878419","1313 e 59th st, chicago, il 60637, usa"
1515_E._HYDE_PARK_@1515_E_HYDE_PARK_BLVD@.html,1515_E._HYDE_PARK_,1515_E_HYDE_PARK_BLVD,1515 E. HYDE PARK ,1515 E HYDE PARK BLVD,"Chicago, IL","1515 E HYDE PARK BLVD, Chicago, IL","1", Daily Maroon,May,"12","1981",,"-87.5885327","41.8023184","1515 e hyde park blvd, chicago, il 60615, usa"
1515_E._HYDE_PARK_@1515_E_HYDE_PARK_BLVD@.html,1515_E._HYDE_PARK_,1515_E_HYDE_PARK_BLVD,1515 E. HYDE PARK ,1515 E HYDE PARK BLVD,"Chicago, IL","1515 E HYDE PARK BLVD, Chicago, IL","1", Daily Maroon,February,"13","1981",,"-87.5885327","41.8023184","1515 e hyde park blvd, chicago, il 60615, usa"
1150_East_68TH_@1150_E_68TH_ST@.html,1150_East_68TH_,1150_E_68TH_ST,1150 East 68TH ,1150 E 68TH ST,"Chicago, IL","1150 E 68TH ST, Chicago, IL","1", Daily Maroon,May,"9","1933",,"-87.5919271","41.7714161","1150 e 68th st, chicago, il 60637, usa"
64_E._LAKE_@64_E_LAKE_ST@.html,64_E._LAKE_,64_E_LAKE_ST,64 E. LAKE ,64 E LAKE ST,"Chicago, IL","64 E LAKE ST, Chicago, IL","1", Daily Maroon,May,"22","1928",,"-87.6255391","41.8858899","64 e lake st, chicago, il 60601, usa"
64_E._LAKE_@64_E_LAKE_ST@.html,64_E._LAKE_,64_E_LAKE_ST,64 E. LAKE ,64 E LAKE ST,"Chicago, IL","64 E LAKE ST, Chicago, IL","1", Daily Maroon,February,"13","1959",,"-87.6255391","41.8858899","64 e lake st, chicago, il 60601, usa"
64_E._LAKE_@64_E_LAKE_ST@.html,64_E._LAKE_,64_E_LAKE_ST,64 E. LAKE ,64 E LAKE ST,"Chicago, IL","64 E LAKE ST, Chicago, IL","1", Daily Maroon,October,"16","1959",,"-87.6255391","41.8858899","64 e lake st, chicago, il 60601, usa"
