Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
9030_South_CICERO_@9030_S_CICERO_AVE@.html,9030_South_CICERO_,9030_S_CICERO_AVE,9030 South CICERO ,9030 S CICERO AVE,"Chicago, IL","9030 S CICERO AVE, Chicago, IL","1", Daily Maroon,April,"20","1965",,"-87.741538","41.727838","9030 s cicero ave, oak lawn, il 60453, usa"
3514_South_MICHIGAN_@3514_S_MICHIGAN_AVE@.html,3514_South_MICHIGAN_,3514_S_MICHIGAN_AVE,3514 South MICHIGAN ,3514 S MICHIGAN AVE,"Chicago, IL","3514 S MICHIGAN AVE, Chicago, IL","1", Daily Maroon,September,"0","1969",,"-87.623779","41.830468","3514 s michigan ave, chicago, il 60653, usa"
222_S._RIVERSIDE_@222_S_RIVERSIDE_PLZ@.html,222_S._RIVERSIDE_,222_S_RIVERSIDE_PLZ,222 S. RIVERSIDE ,222 S RIVERSIDE PLZ,"Chicago, IL","222 S RIVERSIDE PLZ, Chicago, IL","1", Daily Maroon,May,"2","1980",,"-87.6389475","41.8788904","222 s riverside plaza, chicago, il 60606, usa"
9626_South_HOMAN_@9626_S_HOMAN_AVE@.html,9626_South_HOMAN_,9626_S_HOMAN_AVE,9626 South HOMAN ,9626 S HOMAN AVE,"Chicago, IL","9626 S HOMAN AVE, Chicago, IL","1", Daily Maroon,April,"20","1973",,"-87.7069503","41.7387823","9626 s homan ave, chicago, il 60652, usa"
3142_South_HALSTED_@3142_S_HALSTED_ST@.html,3142_South_HALSTED_,3142_S_HALSTED_ST,3142 South HALSTED ,3142 S HALSTED ST,"Chicago, IL","3142 S HALSTED ST, Chicago, IL","1", Daily Maroon,November,"9","1956",,"-87.6465705","41.8371202","3142 s halsted st, chicago, il 60608, usa"
312_South_WABASH_@312_S_WABASH_AVE@.html,312_South_WABASH_,312_S_WABASH_AVE,312 South WABASH ,312 S WABASH AVE,"Chicago, IL","312 S WABASH AVE, Chicago, IL","1", Daily Maroon,December,"13","1957",,"-87.6264781","41.8778469","312 s wabash ave, chicago, il 60604, usa"
312_South_WABASH_@312_S_WABASH_AVE@.html,312_South_WABASH_,312_S_WABASH_AVE,312 South WABASH ,312 S WABASH AVE,"Chicago, IL","312 S WABASH AVE, Chicago, IL","1", Daily Maroon,December,"12","1958",,"-87.6264781","41.8778469","312 s wabash ave, chicago, il 60604, usa"
5100_South_CORNELL_@5100_S_CORNELL_AVE@.html,5100_South_CORNELL_,5100_S_CORNELL_AVE,5100 South CORNELL ,5100 S CORNELL AVE,"Chicago, IL","5100 S CORNELL AVE, Chicago, IL","1", Daily Maroon,September,"24","1982",,"-87.5867319","41.8021672","5100 s cornell ave, chicago, il 60615, usa"
5736_S._RACINE_@5736_S_RACINE_AVE@.html,5736_S._RACINE_,5736_S_RACINE_AVE,5736 S. RACINE ,5736 S RACINE AVE,"Chicago, IL","5736 S RACINE AVE, Chicago, IL","1", Daily Maroon,May,"25","1976",,"-87.6550923","41.7892799","5736 s racine ave, chicago, il 60636, usa"
28_S._WABASH_@28_S_WABASH_AVE@.html,28_S._WABASH_,28_S_WABASH_AVE,28 S. WABASH ,28 S WABASH AVE,"Chicago, IL","28 S WABASH AVE, Chicago, IL","1", Daily Maroon,December,"11","1913",,"-87.6267545","41.8812349","28 s wabash ave, chicago, il 60603, usa"
