Search_and_address,old_search,old_addr,search,addr,city_state,full,Quantity,Publication,Month,Day,Year,Edition,lon,lat,geoAddress
5642_South_KIMBARK_@5642_S_KIMBARK_AVE@.html,5642_South_KIMBARK_,5642_S_KIMBARK_AVE,5642 South KIMBARK ,5642 S KIMBARK AVE,"Chicago, IL","5642 S KIMBARK AVE, Chicago, IL","1", Daily Maroon,May,"9","1980",,"-87.5951996","41.7921164","5642 s kimbark ave, chicago, il 60637, usa"
5801_South_WOODLAWN_@5801_S_WOODLAWN_AVE@.html,5801_South_WOODLAWN_,5801_S_WOODLAWN_AVE,5801 South WOODLAWN ,5801 S WOODLAWN AVE,"Chicago, IL","5801 S WOODLAWN AVE, Chicago, IL","1", Daily Maroon,October,"15","1963",,"-87.5964141","41.7895848","5801 s woodlawn ave, chicago, il 60637, usa"
4828_S._KIMBARK_@4828_S_KIMBARK_AVE@.html,4828_S._KIMBARK_,4828_S_KIMBARK_AVE,4828 S. KIMBARK ,4828 S KIMBARK AVE,"Chicago, IL","4828 S KIMBARK AVE, Chicago, IL","1", Daily Maroon,May,"1","1981",,"-87.5954728","41.8068762","4828 s kimbark ave, chicago, il 60615, usa"
5545_South_KIMBARK_@5545_S_KIMBARK_AVE@.html,5545_South_KIMBARK_,5545_S_KIMBARK_AVE,5545 South KIMBARK ,5545 S KIMBARK AVE,"Chicago, IL","5545 S KIMBARK AVE, Chicago, IL","1", Daily Maroon,July,"1","1983",,"-87.594425","41.793641","5545 s kimbark ave, chicago, il 60637, usa"
5545_South_KIMBARK_@5545_S_KIMBARK_AVE@.html,5545_South_KIMBARK_,5545_S_KIMBARK_AVE,5545 South KIMBARK ,5545 S KIMBARK AVE,"Chicago, IL","5545 S KIMBARK AVE, Chicago, IL","1", Daily Maroon,September,"23","1983",,"-87.594425","41.793641","5545 s kimbark ave, chicago, il 60637, usa"
5020_South_WOODLAWN_@5020_S_WOODLAWN_AVE@.html,5020_South_WOODLAWN_,5020_S_WOODLAWN_AVE,5020 South WOODLAWN ,5020 S WOODLAWN AVE,"Chicago, IL","5020 S WOODLAWN AVE, Chicago, IL","1", Daily Maroon,February,"13","1948",,"-87.5968808","41.8034393","5020 s woodlawn ave, chicago, il 60615, usa"
6106_South_INGLESIDE_@6106_S_INGLESIDE_AVE@.html,6106_South_INGLESIDE_,6106_S_INGLESIDE_AVE,6106 South INGLESIDE ,6106 S INGLESIDE AVE,"Chicago, IL","6106 S INGLESIDE AVE, Chicago, IL","1", Daily Maroon,September,"30","1969",,"-87.6029611","41.7837943","6106 s ingleside ave, chicago, il 60637, usa"
5828_South_UNIVERSITY_@5828_S_UNIVERSITY_AVE@.html,5828_South_UNIVERSITY_,5828_S_UNIVERSITY_AVE,5828 South UNIVERSITY ,5828 S UNIVERSITY AVE,"Chicago, IL","5828 S UNIVERSITY AVE, Chicago, IL","1", Daily Maroon,April,"29","1986",,"-87.5982904","41.7889561","albert pick hall for international studies, 5828 s university ave, chicago, il 60637, usa"
5828_South_UNIVERSITY_@5828_S_UNIVERSITY_AVE@.html,5828_South_UNIVERSITY_,5828_S_UNIVERSITY_AVE,5828 South UNIVERSITY ,5828 S UNIVERSITY AVE,"Chicago, IL","5828 S UNIVERSITY AVE, Chicago, IL","1", Daily Maroon,May,"16","1980",,"-87.5982904","41.7889561","albert pick hall for international studies, 5828 s university ave, chicago, il 60637, usa"
5751_South_WOODLAWN_@5751_S_WOODLAWN_AVE@.html,5751_South_WOODLAWN_,5751_S_WOODLAWN_AVE,5751 South WOODLAWN ,5751 S WOODLAWN AVE,"Chicago, IL","5751 S WOODLAWN AVE, Chicago, IL","1", Daily Maroon,October,"3","1980",,"-87.5960587","41.7901453","mcgiffert house, 5751 s woodlawn ave, chicago, il 60637, usa"
5131_S._GREENWOOD_@5131_S_GREENWOOD_AVE@.html,5131_S._GREENWOOD_,5131_S_GREENWOOD_AVE,5131 S. GREENWOOD ,5131 S GREENWOOD AVE,"Chicago, IL","5131 S GREENWOOD AVE, Chicago, IL","1", Daily Maroon,July,"19","1973",,"-87.599329","41.801438","5131 s greenwood ave, chicago, il 60615, usa"
4800_South_KIMBARK_@4800_S_KIMBARK_AVE@.html,4800_South_KIMBARK_,4800_S_KIMBARK_AVE,4800 South KIMBARK ,4800 S KIMBARK AVE,"Chicago, IL","4800 S KIMBARK AVE, Chicago, IL","1", Daily Maroon,March,"30","1976",,"-87.5955307","41.8076344","4800 s kimbark ave, chicago, il 60615, usa"
4800_South_KIMBARK_@4800_S_KIMBARK_AVE@.html,4800_South_KIMBARK_,4800_S_KIMBARK_AVE,4800 South KIMBARK ,4800 S KIMBARK AVE,"Chicago, IL","4800 S KIMBARK AVE, Chicago, IL","1", Daily Maroon,April,"2","1976",,"-87.5955307","41.8076344","4800 s kimbark ave, chicago, il 60615, usa"
