,State,Date,Count
144,CA,2015-06-15,1
145,CA,2015-06-16,1
146,CA,2015-06-21,1
147,CA,2015-06-22,1
148,CA,2015-06-25,2
149,CA,2015-07-02,1
150,CA,2015-07-03,2
151,CA,2015-07-05,3
152,CA,2015-07-06,3
153,CA,2015-07-07,2
154,CA,2015-07-09,3
155,CA,2015-07-11,2
156,CA,2015-07-13,3
157,CA,2015-07-16,1
158,CA,2015-07-17,2
159,CA,2015-07-18,1
160,CA,2015-07-20,1
161,CA,2015-07-23,2
162,CA,2015-07-24,1
163,CA,2015-07-29,1
164,CA,2015-07-30,2
165,CA,2015-08-03,1
166,CA,2015-08-04,1
167,CA,2015-08-07,3
168,CA,2015-08-09,1
169,CA,2015-08-10,1
170,CA,2015-08-12,4
171,CA,2015-08-15,4
172,CA,2015-08-16,1
173,CA,2015-08-17,1
174,CA,2015-08-20,2
175,CA,2015-08-22,1
176,CA,2015-08-27,3
177,CA,2015-08-28,1
178,CA,2015-09-03,1
179,CA,2015-09-04,2
180,CA,2015-09-05,3
181,CA,2015-09-07,2
182,CA,2015-09-09,1
183,CA,2015-09-10,5
184,CA,2015-09-14,2
185,CA,2015-09-15,2
186,CA,2015-09-16,1
187,CA,2015-09-18,2
188,CA,2015-09-21,2
189,CA,2015-09-22,2
190,CA,2015-09-27,2
191,CA,2015-09-28,1
192,CA,2015-10-02,1
193,CA,2015-10-03,1
194,CA,2015-10-04,1
195,CA,2015-10-06,2
196,CA,2015-10-09,1
197,CA,2015-10-10,2
198,CA,2015-10-11,1
199,CA,2015-10-14,3
200,CA,2015-10-15,1
201,CA,2015-10-16,1
202,CA,2015-10-17,2
203,CA,2015-10-18,1
204,CA,2015-10-19,1
205,CA,2015-10-20,1
206,CA,2015-10-21,3
207,CA,2015-10-22,2
208,CA,2015-10-24,2
209,CA,2015-10-27,1
210,CA,2015-10-28,1
211,CA,2015-11-01,2
212,CA,2015-11-04,2
213,CA,2015-11-09,2
214,CA,2015-11-10,2
215,CA,2015-11-11,2
216,CA,2015-11-12,2
217,CA,2015-11-13,1
218,CA,2015-11-14,1
219,CA,2015-11-15,1
220,CA,2015-11-19,1
221,CA,2015-11-20,2
222,CA,2015-11-22,2
223,CA,2015-11-26,2
224,CA,2015-11-29,1
225,CA,2015-12-01,1
226,CA,2015-12-02,4
227,CA,2015-12-05,1
228,CA,2015-12-10,4
229,CA,2015-12-12,2
230,CA,2015-12-14,3
231,CA,2015-12-16,1
232,CA,2015-12-17,1
233,CA,2015-12-19,1
234,CA,2015-12-20,2
235,CA,2015-12-21,3
236,CA,2015-12-24,1
237,CA,2015-12-25,1
238,CA,2015-12-29,3
239,CA,2015-12-30,2
240,CO,2015-01-04,2
241,CO,2015-01-15,1
242,CO,2015-01-25,1
243,CO,2015-01-26,2
244,CO,2015-02-10,2
245,CO,2015-03-06,2
246,CO,2015-03-09,1
247,CO,2015-04-15,1
248,CO,2015-04-22,1
249,CO,2015-04-24,1
250,CO,2015-05-19,2
251,CO,2015-05-28,2
252,CO,2015-06-06,2
253,CO,2015-06-19,1
254,CO,2015-07-12,1
255,CO,2015-07-18,2
256,CO,2015-07-27,1
257,CO,2015-08-31,1
258,CO,2015-09-11,1
259,CO,2015-09-24,1
260,CO,2015-10-31,1
261,CO,2015-11-10,2
262,CO,2015-11-22,1
263,CO,2015-11-30,1
264,CO,2015-12-02,1
265,CO,2015-12-12,1
266,CO,2015-12-13,1
267,CO,2015-12-21,2
268,CT,2015-03-15,1
269,CT,2015-08-07,1
270,CT,2015-08-14,1
271,CT,2015-10-10,1
272,DC,2015-02-12,1
273,DC,2015-03-12,1
274,DC,2015-10-26,1
275,DC,2015-11-02,2
276,DC,2015-11-14,1
277,DC,2015-11-19,1
278,DE,2015-03-08,2
279,DE,2015-04-03,1
280,DE,2015-05-02,1
281,DE,2015-09-23,2
282,DE,2015-12-20,1
283,FL,2015-01-01,1
284,FL,2015-01-23,1
285,FL,2015-02-04,2
286,FL,2015-02-08,1
287,FL,2015-02-11,1
288,FL,2015-02-15,1
289,FL,2015-02-22,3
290,FL,2015-02-26,1
291,FL,2015-03-04,1
292,FL,2015-03-06,1
293,FL,2015-03-09,1
294,FL,2015-03-18,2
295,FL,2015-03-19,1
296,FL,2015-03-27,1
297,FL,2015-03-31,2
298,FL,2015-04-06,1
299,FL,2015-04-09,2
300,FL,2015-04-15,1
301,FL,2015-04-18,2
302,FL,2015-04-25,2
303,FL,2015-05-06,1
304,FL,2015-05-11,2
305,FL,2015-05-12,2
306,FL,2015-05-14,2
307,FL,2015-05-17,1
308,FL,2015-05-21,2
309,FL,2015-06-06,1
310,FL,2015-06-07,1
311,FL,2015-06-08,1
312,FL,2015-06-11,3
313,FL,2015-06-14,1
314,FL,2015-07-02,2
315,FL,2015-07-03,1
